,university_id,name,state_code,department_id,discipline,faculty_id,course_id,survey_year,examination_result_id,infra_count,infrastructure,percentage,pass_percentage,combined,user_defined_score
31078,35,"Sri Satya Sai Institute of Higher Learning, Anantpur",28,,Computer Science,73190.0,2217789,2019,2044899,8,100.0,100.0,100.0,100.0,100.0
31896,37,"Sri Venkateswara University, Tirupathy",28,,Computer Science,72999.0,2209237,2019,2038486,8,100.0,100.0,100.0,100.0,100.0
31888,37,"Sri Venkateswara University, Tirupathy",28,,Computer Science,72996.0,2209211,2019,2038460,8,100.0,100.0,100.0,100.0,100.0
25663,153,"Veer Narmad South Gujarat University, Surat",24,1989705.0,Computer Science,69496.0,2104649,2019,1879719,8,100.0,96.66666666666667,100.0,98.8888888888889,99.33333333333334
20852,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029157,2019,1864913,8,100.0,95.0,100.0,98.33333333333333,99.0
21014,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029165,2019,1864921,8,100.0,95.0,100.0,98.33333333333333,99.0
43060,467,"National Institute of Technology, Tiruchirapalli",33,,Computer Science,70834.0,2142130,2019,1975700,8,100.0,100.0,95.83333333333334,98.61111111111113,98.75
31871,37,"Sri Venkateswara University, Tirupathy",28,,Computer Science,72996.0,2209213,2019,2038462,8,100.0,100.0,95.0,98.33333333333333,98.5
42724,220,"Indian Institute of Science, Bangalore",29,2098928.0,Computer Science,74125.0,2238995,2019,2064240,8,100.0,91.75,100.0,97.25,98.35
39880,582,"Ramakrishna Mission Vivekananda Educational  and Research Institute, Howrah",19,2045866.0,Computer Science,71365.0,2167314,2019,1999740,8,100.0,91.5,100.0,97.16666666666667,98.3
2035,435,"Alagappa University, Alagappa Nagar, Karaikudi",33,,Computer Science,69209.0,2000116,2019,1836196,8,100.0,91.0,100.0,97.0,98.2
2006,435,"Alagappa University, Alagappa Nagar, Karaikudi",33,,Computer Science,69209.0,2000094,2019,1836174,8,100.0,91.0,100.0,97.0,98.2
1999,435,"Alagappa University, Alagappa Nagar, Karaikudi",33,,Computer Science,69209.0,2000092,2019,1836172,8,100.0,91.0,100.0,97.0,98.2
25221,389,Banasthali Vidyapith,8,,Computer Science,74530.0,2248261,2019,2072488,8,100.0,90.75,100.0,96.91666666666667,98.15
24985,389,Banasthali Vidyapith,8,,Computer Science,74530.0,2248263,2019,2072490,8,100.0,90.75,100.0,96.91666666666667,98.15
28925,323,Savitribai Phule Pune University,27,1913461.0,Computer Science,69288.0,2120189,2019,1862688,8,100.0,90.0,100.0,96.66666666666667,98.0
1693,366,"Utkal University, Bhubaneswar",21,,Computer Science,73268.0,2220726,2019,2047635,8,100.0,88.25,100.0,96.08333333333333,97.65
1655,366,"Utkal University, Bhubaneswar",21,,Computer Science,73268.0,2220728,2019,2047637,8,100.0,88.25,100.0,96.08333333333333,97.65
19536,444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore",33,,Computer Science,69901.0,2075124,2019,1910283,8,100.0,87.25,100.0,95.75,97.45
19480,444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore",33,,Computer Science,69901.0,2075131,2019,1910289,8,100.0,87.25,100.0,95.75,97.45
19457,444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore",33,,Computer Science,69901.0,2075140,2019,1910298,8,100.0,87.25,100.0,95.75,97.45
7933,235,"University of Mysore, Mysore",29,2052196.0,Computer Science,71763.0,2175650,2019,2007351,8,100.0,86.75,100.0,95.58333333333333,97.35
8016,235,"University of Mysore, Mysore",29,2052196.0,Computer Science,71763.0,2175647,2019,2007384,8,100.0,86.75,100.0,95.58333333333333,97.35
7989,235,"University of Mysore, Mysore",29,2052196.0,Computer Science,71763.0,2175648,2019,2007349,8,100.0,86.75,100.0,95.58333333333333,97.35
1926,435,"Alagappa University, Alagappa Nagar, Karaikudi",33,,Computer Science,69209.0,2000086,2019,1836166,8,100.0,91.0,97.05882352941177,96.01960784313725,97.31764705882352
20897,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029163,2019,1864919,8,100.0,95.0,94.28571428571428,96.42857142857143,97.28571428571428
15291,167,"Maharshi Dayanand University, Rohtak",6,,Computer Science,70553.0,2124962,2019,1958923,8,100.0,86.0,100.0,95.33333333333333,97.2
25189,389,Banasthali Vidyapith,8,,Computer Science,74530.0,2248258,2019,2072486,8,100.0,90.75,96.0,95.58333333333333,96.95
11680,496,"Aligarh Muslim University, Aligarh",9,,Computer Science,73825.0,2232306,2019,2058146,8,100.0,83.75,100.0,94.58333333333333,96.75
12653,223,"Jain university,Bangalore",29,,Computer Science,70932.0,2148350,2019,1981419,8,100.0,82.75,100.0,94.25,96.55
20123,462,"Madras University, Chennai",33,,Computer Science,70256.0,2104882,2019,1939305,8,100.0,82.75,100.0,94.25,96.55
21304,120,University of Delhi,7,2095921.0,Computer Science,73950.0,2234401,2019,2060076,8,100.0,82.0,100.0,94.0,96.4
28529,217,"Christ University, Bangalore",29,2048966.0,Computer Science,71575.0,2171360,2019,2003298,8,100.0,81.25,100.0,93.75,96.25
28497,217,"Christ University, Bangalore",29,2048966.0,Computer Science,71575.0,2171355,2019,2003293,8,100.0,81.25,100.0,93.75,96.25
3936,570,"Calcutta University, Kolkata",19,2088627.0,Computer Science,73376.0,2222647,2019,2049415,8,100.0,80.0,100.0,93.33333333333333,96.0
4085,570,"Calcutta University, Kolkata",19,2088627.0,Computer Science,73376.0,2222648,2019,2049416,8,100.0,80.0,100.0,93.33333333333333,96.0
20853,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029157,2019,1864913,8,100.0,80.0,100.0,93.33333333333333,96.0
21015,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029165,2019,1864921,8,100.0,80.0,100.0,93.33333333333333,96.0
24986,389,Banasthali Vidyapith,8,,Computer Science,74530.0,2248263,2019,2072490,8,100.0,80.0,100.0,93.33333333333333,96.0
25222,389,Banasthali Vidyapith,8,,Computer Science,74530.0,2248261,2019,2072488,8,100.0,80.0,100.0,93.33333333333333,96.0
31721,453,"Gandhigram Rural Institute, Dindigul",33,,Computer Science,70984.0,2150742,2019,1983818,8,100.0,80.0,100.0,93.33333333333333,96.0
10112,325,"Shivaji University, Kolhapur",27,2104356.0,Computer Science,71433.0,2246712,2019,2004590,8,100.0,79.0,100.0,93.0,95.8
10268,325,"Shivaji University, Kolhapur",27,2104356.0,Computer Science,71433.0,2246589,2019,2004595,8,100.0,79.0,100.0,93.0,95.8
772,107,Jamia Hamdard,7,2107171.0,Computer Science,74642.0,2251109,2019,2074685,8,100.0,78.75,100.0,92.91666666666667,95.75
14224,556,"Gurukul Kangri Vishwavidyalaya, Haridwar",5,2079708.0,Computer Science,73016.0,2210259,2019,2039525,8,100.0,78.25,100.0,92.75,95.65
11149,251,"UNIVERSITY OF CALICUT, MALAPPURAM",32,2103396.0,Computer Science,74397.0,2246882,2019,2069984,8,100.0,78.25,100.0,92.75,95.65
11178,251,"UNIVERSITY OF CALICUT, MALAPPURAM",32,2103396.0,Computer Science,74397.0,2246887,2019,2070016,8,100.0,78.25,100.0,92.75,95.65
34039,357,"National Institute of Technology, Rourkela",21,2093024.0,Computer Science,73658.0,2228973,2019,2055261,8,100.0,78.0,100.0,92.66666666666667,95.6
7813,447,"Bharathiar University, Coimbatore",33,,Computer Science,,2088678,2019,1923587,8,100.0,77.75,100.0,92.58333333333333,95.55
